method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover,cost_scenario,cost_rate,scenario_transaction_cost,scenario_net_return,scenario_annual_net_return
MOEAD,NASDAQ100,window_011,8,60,10,751,123,0.123923046177159,0.122923046177159,0.270422299042028,0.2681075480059,0.301017052887395,0.944950525472303,1.48590379232803,-0.145823595886013,1,0.001,4.4959767,123,0.040876922604182755,-0.14582359588601213,0.6456874420913056,50bps,0.005,0.003228437210456528,0.12069460896670248,0.26295704370839856
MOEAD,NASDAQ100,window_001,9,60,10,755,124,0.277656777617029,0.276656777617029,0.645360709975483,0.642744634309821,0.415263728154686,1.40609272150208,2.22941152240827,-0.285141784717431,1,0.001,11.4052938,124,0.05047508114897853,-0.2851417847174311,1.0,50bps,0.005,0.005,0.272656777617029,0.6323014751970408
MOEAD,NASDAQ100,window_002,9,59,10,755,126,0.237564474174028,0.236564474174028,0.531565827737639,0.52909169878929,0.266847025665035,1.73135263135627,2.66541230609409,-0.179989361718023,1,0.001,11.1687707,126,0.03520354680951577,-0.1799893617180237,0.32009858864942586,50bps,0.005,0.0016004929432471293,0.23596398123078088,0.5276069628998423
MOEAD,NASDAQ100,window_003,9,60,10,756,124,-0.446743393734436,-0.447743393734436,-0.699696408114233,-0.70079847370443,0.522929601076743,-2.03411589892408,-3.48128820067064,-0.463869005240173,1,0.001,11.0399325,124,0.06912675353366096,-0.46386900524017394,0.5024650528270024,50bps,0.005,0.0025123252641350118,-0.44925571899857103,-0.702461245707551
MOEAD,NASDAQ100,window_004,9,60,10,756,125,-0.120615569710743,-0.121615569710743,-0.228271739174231,-0.230039914017582,0.373662532939984,-0.508775903370696,-0.879147975043159,-0.303429158466194,1,0.001,7.0191506,125,0.04550580873504375,-0.3034291584661938,0.8339709187807828,50bps,0.005,0.004169854593903914,-0.12478542430464691,-0.2356312626492072
MOEAD,NASDAQ100,window_005,9,60,10,755,123,0.298281190936418,0.297281190936418,0.707134401350764,0.704441509397321,0.276700960665248,2.07223689239212,3.09750198112458,-0.178162910682012,1,0.001,5.6427464,123,0.03638368450348727,-0.17816291068201262,0.3460290592707568,50bps,0.005,0.001730145296353784,0.2965510456400642,0.7024766815434376
MOEAD,NASDAQ100,window_006,9,60,10,753,125,0.216481387001234,0.215481387001234,0.484474097850036,0.482014997305017,0.206407340740366,2.01728760929302,3.4273364818588,-0.0902330514674531,1,0.001,3.4733078,125,0.023557284676447358,-0.09023305146745286,0.7579334612435216,50bps,0.005,0.0037896673062176077,0.2126917196950164,0.47516578567390755
MOEAD,NASDAQ100,window_007,9,60,10,752,124,0.302825242689989,0.301825242689989,0.711899773495196,0.709230463933494,0.16349081770925,3.37276708748256,6.11338417353652,-0.0616002360634038,1,0.001,3.8790647,124,0.017754902235957614,-0.061600236063403924,0.35074356633124076,50bps,0.005,0.0017537178316562039,0.30107152485833283,0.7072199560232206
MOEAD,NASDAQ100,window_008,9,60,10,752,126,0.13943368269617,0.13843368269617,0.298309117262556,0.296031249897164,0.29020620595195,1.04365220038317,1.5267120204427,-0.137328523469248,1,0.001,3.7685683,126,0.04068000720739249,-0.13732852346924773,0.2970369236951924,50bps,0.005,0.0014851846184759621,0.13794849807769405,0.29492678427727936
MOEAD,NASDAQ100,window_009,9,59,10,752,122,0.212371230280634,0.211371230280634,0.488522991191667,0.485988039180253,0.376085948488111,1.24347205677287,1.65106210697831,-0.244870118253025,1,0.001,3.6076346,122,0.053197373468707024,-0.24487011825302518,0.39770966954329556,50bps,0.005,0.0019885483477164777,0.21038268193291754,0.4834843072895507
MOEAD,NASDAQ100,window_010,9,60,10,750,126,-0.0683576423814884,-0.0693576423814884,-0.132042517491021,-0.133904802206258,0.193377816946707,-0.635704740107585,-0.839646602188745,-0.139908163553719,1,0.001,3.414251,126,0.029536378311506233,-0.1399081635537185,0.4310987107288148,50bps,0.005,0.002155493553644074,-0.07051313593513248,-0.13605416953085858
MOEAD,NASDAQ100,window_011,9,60,10,751,123,0.222211275881033,0.221211275881033,0.508494081503083,0.505966492937131,0.288636832748537,1.56862794500122,2.53423269805149,-0.125580241400837,1,0.001,4.042189,123,0.0383877729500437,-0.1255802414008369,0.6120693883970492,50bps,0.005,0.0030603469419852457,0.21915092893904775,0.5007656240767935
