split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_078,1.1271596112567488,0.006246805738598483,0.9230555555555557,0.026541413475731832,0.8592552292138337,4.263707660000001
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_084,1.1262664311900195,0.008758980529152909,0.8763888888888889,0.033188308354572565,0.8776148049781299,3.5652471166666664
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_086,1.1262664311900195,0.008758980529152909,0.8763888888888889,0.033188308354572565,0.8776148049781299,3.543548
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_089,1.1262664311900195,0.008758980529152909,0.8763888888888889,0.033188308354572565,0.8776148049781299,4.48553742
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_118,1.1281298666477422,0.006919237820665986,0.9224999999999999,0.031637646171991246,0.8416784558879106,4.46716171
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_131,1.1281298666477422,0.006919237820665986,0.9224999999999999,0.031637646171991246,0.8416784558879106,4.58401906
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_132,1.1281298666477422,0.006919237820665986,0.9224999999999999,0.031637646171991246,0.8416784558879106,4.4656634933333335
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_144,1.1236219165968027,0.0094147972774068,0.881388888888889,0.03906804672664172,0.8643570271595179,6.0080731133333325
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_159,1.1236219165968027,0.0094147972774068,0.881388888888889,0.03906804672664172,0.8643570271595179,4.351739153333332
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_164,1.1224883671649846,0.013609748012528958,0.7630555555555556,0.036239083903385844,0.8646806604428332,4.23542803
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_170,1.1224883671649846,0.013609748012528958,0.7630555555555556,0.036239083903385844,0.8646806604428332,4.853950036666666
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_175,1.1224883671649846,0.013609748012528958,0.7630555555555556,0.036239083903385844,0.8646806604428332,4.627204036666667
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_189,1.1224883671649846,0.013609748012528958,0.7630555555555556,0.036239083903385844,0.8646806604428332,4.687041296666667
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_200,1.1255275325059209,0.008117368259931817,0.8922222222222225,0.03590145788617522,0.8818845520352948,10.579661233333331
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_223,1.1220379941348952,0.01178420584283018,0.8213888888888888,0.03263410102262855,0.867054202985404,10.69397628
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_234,1.1220379941348952,0.01178420584283018,0.8213888888888888,0.03263410102262855,0.867054202985404,10.608867446666665
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_237,1.1220379941348952,0.01178420584283018,0.8213888888888888,0.03263410102262855,0.867054202985404,4.638041996666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_011,1.0527060513860607,0.01884951244119386,0.7958333333333333,0.04390367309500427,1.0794327768654692,4.187218803333334
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_034,1.0437357634963844,0.023491709126525668,0.7988888888888889,0.05213954527611062,1.095612297671728,3.3904950933333335
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_037,1.0437357634963844,0.023491709126525668,0.7988888888888889,0.05213954527611062,1.095612297671728,3.3896592800000005
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_045,1.0437357634963844,0.023491709126525668,0.7988888888888889,0.05213954527611062,1.095612297671728,3.9365454566666664
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_047,1.0437357634963844,0.023491709126525668,0.7988888888888889,0.05213954527611062,1.095612297671728,4.659726289999999
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_067,1.0531121732572093,0.018914982379084906,0.8074999999999999,0.04122306317011926,1.1118255053275703,5.84584368
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_076,1.0531121732572093,0.018914982379084906,0.8074999999999999,0.04122306317011926,1.1118255053275703,4.103988996666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_078,1.0531121732572093,0.018914982379084906,0.8074999999999999,0.04122306317011926,1.1118255053275703,4.137069253333333
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_084,1.0436313689684538,0.025208899801873005,0.7358333333333335,0.04795883453877965,1.0863341602885863,3.5844556933333327
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_086,1.0436313689684538,0.025208899801873005,0.7358333333333335,0.04795883453877965,1.0863341602885863,3.694488363333333
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_089,1.0436313689684538,0.025208899801873005,0.7358333333333335,0.04795883453877965,1.0863341602885863,4.467565100000001
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_118,1.0450792558130566,0.026522815810315736,0.7625,0.06511289808984588,1.0852381249835665,4.346004766666668
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_131,1.0450792558130566,0.026522815810315736,0.7625,0.06511289808984588,1.0852381249835665,4.293058796666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_132,1.0450792558130566,0.026522815810315736,0.7625,0.06511289808984588,1.0852381249835665,4.456667536666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_144,1.0375042006989899,0.025174444623182603,0.7508333333333334,0.04617581340276995,1.140755130812848,5.9441162200000015
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_159,1.0375042006989899,0.025174444623182603,0.7508333333333334,0.04617581340276995,1.140755130812848,4.344486493333333
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_164,1.0417760971551155,0.025542064299992187,0.6994444444444444,0.05601578765432505,1.1091769126276596,4.1585944066666665
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_170,1.0417760971551155,0.025542064299992187,0.6994444444444444,0.05601578765432505,1.1091769126276596,4.733204553333334
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_175,1.0417760971551155,0.025542064299992187,0.6994444444444444,0.05601578765432505,1.1091769126276596,4.9892311933333335
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_189,1.0417760971551155,0.025542064299992187,0.6994444444444444,0.05601578765432505,1.1091769126276596,4.547135246666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_200,1.0418398318849247,0.028918764122507667,0.6988888888888887,0.05411768380125382,1.0632029837508652,10.804086966666665
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_223,1.0419120285163208,0.027483620861786785,0.7613888888888891,0.06374771536773614,1.1046743363009404,10.278849726666667
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_234,1.0419120285163208,0.027483620861786785,0.7613888888888891,0.06374771536773614,1.1046743363009404,10.260780376666665
Training,syn_n100_k05_high_corr_mixed_high_vol_r02_s20260675,5,theta_237,1.0419120285163208,0.027483620861786785,0.7613888888888891,0.06374771536773614,1.1046743363009404,4.3753796566666665
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_011,1.1313312547015015,0.00957293983267764,0.8841666666666667,0.020504158097137945,0.7302989258565679,3.5642364699999995
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_034,1.1202060940088254,0.018898861689000256,0.8466666666666668,0.055701853216488205,0.7774847451659915,3.4071841766666666
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_037,1.1202060940088254,0.018898861689000256,0.8466666666666668,0.055701853216488205,0.7774847451659915,3.390231823333333
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_045,1.1202060940088254,0.018898861689000256,0.8466666666666668,0.055701853216488205,0.7774847451659915,4.1963749833333335
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_047,1.1202060940088254,0.018898861689000256,0.8466666666666668,0.055701853216488205,0.7774847451659915,4.897900933333333
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_067,1.1288687818977665,0.011057343960571491,0.9055555555555554,0.03809461847351928,0.7729582133097473,5.557655886666666
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_076,1.1288687818977665,0.011057343960571491,0.9055555555555554,0.03809461847351928,0.7729582133097473,4.247037803333333
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_078,1.1288687818977665,0.011057343960571491,0.9055555555555554,0.03809461847351928,0.7729582133097473,4.179556316666667
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_084,1.128636661199224,0.011472308361966409,0.907222222222222,0.021529584830286465,0.7443689561226388,3.4989841300000006
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_086,1.128636661199224,0.011472308361966409,0.907222222222222,0.021529584830286465,0.7443689561226388,3.5235978633333334
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_089,1.128636661199224,0.011472308361966409,0.907222222222222,0.021529584830286465,0.7443689561226388,4.40742127
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_118,1.1263512961084527,0.01286337887009372,0.8924999999999997,0.02987085649797629,0.7859074975163105,4.296577839999999
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_131,1.1263512961084527,0.01286337887009372,0.8924999999999997,0.02987085649797629,0.7859074975163105,4.289126483333333
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_132,1.1263512961084527,0.01286337887009372,0.8924999999999997,0.02987085649797629,0.7859074975163105,4.284825406666667
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_144,1.118184120512005,0.020580602193066875,0.8486111111111111,0.05249281900860752,0.7888326937161309,6.936900623333335
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_159,1.118184120512005,0.020580602193066875,0.8486111111111111,0.05249281900860752,0.7888326937161309,5.850874016666666
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_164,1.1268371568222963,0.012453568514087495,0.8191666666666666,0.036551135926919366,0.7955196135425185,4.195585883333333
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_170,1.1268371568222963,0.012453568514087495,0.8191666666666666,0.036551135926919366,0.7955196135425185,4.627644703333334
Training,syn_n100_k05_high_corr_normal_low_vol_r03_s20260679,5,theta_175,1.1268371568222963,0.012453568514087495,0.8191666666666666,0.036551135926919366,0.7955196135425185,4.645759506666667
