split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation
test,syn_n100_k30_low_corr_normal_low_vol_r01_s20260721,30,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.057216666474611697,0.9470551445964488,0.046350580060252645,0.6850000000000002,0.7767578209995438,1.37652686,68.33333333333333,1.0,1.0,9.221564200960477e-17,4.218847493575597e-16,9.422092735652166e-17,4.588921835117316e-16
test,syn_n200_k05_cluster_corr_skewed_high_vol_r01_s20260734,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.08290604289582484,1.0448658566820097,0.07832414424829802,0.4908333333333334,0.8916342496627861,1.7364092533333335,99.9,1.0,1.0,4.0804702114341714e-17,2.5535129566378584e-16,4.074518500374325e-17,2.5535129566378584e-16
test,syn_n200_k05_pathological_cov_normal_extreme_events_r02_s20260733,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06358548012246151,1.1605320115820814,0.03607118850593776,0.6849999999999999,0.08441417007890005,1.4360697166666665,43.733333333333334,1.0,1.0,4.5786802946887426e-17,1.8133642735544223e-16,5.584421813864537e-17,3.071617034796266e-16
test,syn_n200_k10_high_corr_heavy_tail_extreme_events_r01_s20260746,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.055070437788824006,1.029018567210457,0.022576206075618655,0.6563888888888889,1.0211013809716571,1.6363727566666666,98.5,1.0,1.0,1.229763276760868e-16,5.07001847912155e-16,1.2304971856262145e-16,5.07001847912155e-16
test,syn_n200_k10_pathological_cov_skewed_high_vol_r03_s20260745,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06948987020945861,1.164997305777759,0.05395791715742335,0.4994444444444444,0.3944754940079871,1.4158616833333335,24.166666666666668,1.0,1.0,1.0936835829152232e-16,3.7377508495713614e-16,1.0795068542771932e-16,4.625929269271488e-16
test,syn_n200_k20_high_corr_heavy_tail_extreme_events_r01_s20260758,40,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.1521334886185931,0.9146783508425399,0.1925537212857036,0.09472222222222221,0.5560063147895574,1.4735556633333333,30.3,1.0,1.0,9.160833040569179e-17,3.3306690738754696e-16,9.30366894635881e-17,4.588921835117315e-16
test,syn_n200_k20_low_corr_normal_low_vol_r01_s20260757,40,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06783924798624673,0.919564498261225,0.0631213362227207,0.6602777777777777,0.7056548515831698,1.5759386833333335,71.33333333333333,1.0,1.0,1.1731701143711773e-16,4.699944137579831e-16,1.1757261830780415e-16,4.773959005888175e-16
test,syn_n200_k30_high_corr_normal_low_vol_r03_s20260769,60,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.09632596514898337,0.9854948856396406,0.07821031445928207,0.2772222222222222,0.65625768331896,1.537622,54.46666666666667,1.0,1.0,2.0904292796902608e-16,7.845576040684439e-16,2.1442107348927188e-16,8.918791631155426e-16
test,syn_n200_k30_low_corr_skewed_extreme_events_r02_s20260770,60,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.04723622595750662,0.8871169382820809,0.06545301870729328,0.5866666666666666,0.687030503031986,1.5658721333333334,54.3,1.0,1.0,1.6046918810355575e-16,6.698345581905112e-16,1.6046423449248922e-16,7.364479396680206e-16
test,syn_n500_k05_low_corr_normal_low_vol_r01_s20260782,25,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06935636797429137,0.946695312930164,0.06836270291859824,0.5333333333333333,0.6868013997638177,2.1793824666666666,62.9,1.0,1.0,9.185920619593283e-17,3.848773152033877e-16,9.296267459527982e-17,4.403884664346456e-16
test,syn_n500_k05_pathological_cov_mixed_low_vol_r01_s20260781,25,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.0440079368050099,1.0748502093638221,0.10474397516257568,0.4741666666666667,0.31065756146144874,2.12842853,68.73333333333333,1.0,1.0,1.216973379266892e-16,5.181040781584067e-16,1.1945999744966683e-16,5.736152293896644e-16
test,syn_n500_k10_low_corr_heavy_tail_high_vol_r03_s20260793,50,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.0774282270916137,0.8641611320811723,0.05830938290256937,0.5797222222222221,0.8361098772368051,2.2610899033333336,79.9,1.0,1.0,1.2361139767175782e-16,5.25505564989241e-16,1.2356782264077997e-16,5.662137425588301e-16
test,syn_n500_k10_pathological_cov_mixed_low_vol_r01_s20260794,50,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.08391739416157044,0.9365024280946219,0.12624947422387703,0.1227777777777778,0.5905439998013672,2.1984357666666665,64.0,1.0,1.0,1.3766044916021728e-16,5.588122557279955e-16,1.3922196728799466e-16,6.143234069592533e-16
test,syn_n500_k20_cluster_corr_skewed_high_vol_r01_s20260805,100,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.040637574299223884,0.8245842915955883,0.08756777237766485,0.5566343042071197,0.5237878075832822,2.257276806666667,45.5,1.0,1.0,2.1727280342933245e-16,8.326672684688676e-16,2.1523523704066362e-16,9.362880841005495e-16
test,syn_n500_k20_pathological_cov_mixed_low_vol_r01_s20260806,100,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.09003944046140738,0.827536333237983,0.256771269085611,0.0,0.1382933740559943,2.267663953333333,7.5,1.0,1.0,1.8313686839802212e-16,4.551914400963142e-16,2.067235271852041e-16,8.918791631155432e-16
test,syn_n500_k30_cluster_corr_skewed_high_vol_r01_s20260817,150,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.040638804141208004,0.7635838502004497,0.11582625066445873,0.4497777777777778,0.40754621819313674,2.2961265666666666,30.633333333333333,1.0,1.0,2.387195813925515e-16,8.881784197001258e-16,2.5094741099943957e-16,1.1250259982868264e-15
test,syn_n500_k30_pathological_cov_normal_extreme_events_r02_s20260818,150,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.07719835810505236,0.7275956271529207,0.286454619227919,0.0,0.11477309097253977,2.3022673066666663,5.6,1.0,1.0,2.309187947726162e-16,5.440092820663269e-16,2.6230869328477037e-16,1.1139237680405743e-15
