split,instance,K,method,run,PF_Size,Runtime,HV,IGD,PF_Overlap,Diversity
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,14,100,7.1369886,0.9517806381017043,0.01363583046632313,0.8416666666666667,1.3644158319698734
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,15,100,7.1769948,0.9395358048538489,0.020253279164114804,0.49166666666666664,1.316624441667237
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,16,97,7.3307398,0.9355857596494486,0.022602768840273554,0.4083333333333333,1.2906514164299
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,17,100,7.3023757,0.934855032029586,0.023198097456218977,0.39166666666666666,1.2792226816798526
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,18,100,7.3555371,0.9501135590085491,0.015243918997182696,0.7166666666666667,1.3624747643807404
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,19,100,7.4096708,0.943769639730515,0.017443792454616157,0.6,1.3410662371693223
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,20,100,7.2896369,0.9407827828492417,0.019444112936121142,0.525,1.3293766454841514
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,21,100,7.2453134,0.944254140316128,0.01888380864744029,0.49166666666666664,1.3592059324091612
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,22,100,7.2720193,0.9528933946435445,0.013385571319772785,0.9083333333333333,1.348734727392254
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,23,100,7.3521222,0.9377035236097552,0.02262358004006376,0.5583333333333333,1.2430573701358174
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,24,100,7.4100018,0.9504862250219682,0.014425529349395975,0.8333333333333334,1.3459371481259037
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,25,100,7.1788812,0.947008484844429,0.01595213352067584,0.8,1.3165506701316696
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,26,100,7.3797018,0.9509891042045993,0.014653916377600985,0.8083333333333333,1.3707067994165123
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,27,100,7.1789509,0.9547450860284623,0.01299441482896624,0.925,1.3556555173252514
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,28,100,7.0535212,0.9414148702049011,0.019543084739777537,0.5166666666666667,1.3323157067534936
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,29,100,7.2480985,0.9337872240282892,0.022898868851482283,0.35833333333333334,1.3470137580915538
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,30,100,7.3140203,0.9373945581748662,0.021894002791336374,0.475,1.3101825934243232
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,1,100,7.4674247,0.9644739722083625,0.007520248161293747,0.95,1.3078475243822307
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,2,100,7.3126584,0.9605444023240227,0.008231487840918187,0.925,1.3530147408337476
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,3,100,7.2174321,0.9268820891435728,0.02921462117162319,0.8333333333333334,1.081100711558587
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,4,100,7.3329367,0.9402351979379822,0.016478615629565495,0.8416666666666667,1.2154920180943445
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,5,100,7.4658645,0.9684049709047191,0.00569587342356236,0.9916666666666667,1.3661961114006824
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,6,100,7.4802943,0.959885799616979,0.009658011838136978,0.9,1.297677180139923
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,7,100,7.4239632,0.963090260327888,0.007469169070641557,0.9916666666666667,1.3492674503343198
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,8,100,7.2934532,0.9279335939957757,0.03278346688734742,0.825,1.0126490717322614
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,9,100,7.452942,0.9569260492140005,0.01067308821878107,0.9166666666666666,1.2812642831062682
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,10,100,7.4404093,0.9532844086570157,0.01230384730090953,0.9,1.2412297612904297
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,11,100,7.4274041,0.9426282721027915,0.026933058581681227,0.875,1.1123407559929295
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,12,100,7.3032987,0.949070072726824,0.01570861372707982,0.8583333333333333,1.2335608102332434
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,13,100,7.8378504,0.9686053038379216,0.005715796256417447,0.9916666666666667,1.3524824742262511
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,14,100,7.3547514,0.9453015336609393,0.01702241887273171,0.875,1.1973885277113197
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,15,100,7.4616366,0.967204994937646,0.006390353755622954,0.9916666666666667,1.3721650006413706
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,16,100,7.3484632,0.9545141504929922,0.0150000727850248,0.9083333333333333,1.184045317881595
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,17,100,7.8857297,0.9684151115907016,0.006377250122163765,0.9916666666666667,1.362877951505908
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,18,100,7.5267814,0.9610680594628698,0.008597367141661557,0.975,1.3440291731892036
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,19,100,7.7320213,0.9560833158693052,0.011260622730727428,0.8833333333333333,1.2730342448956393
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,20,100,7.7308062,0.9523131733960233,0.012192857743491865,0.875,1.2448149848808752
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,21,100,7.3875488,0.9510875864033336,0.014803976023193721,0.8916666666666667,1.219569736002739
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,22,100,7.4171365,0.9385059766304152,0.03038092122660742,0.8333333333333334,1.0225311709621383
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,23,100,7.4447854,0.9535449670527539,0.012187160425767207,0.9,1.2559248231928597
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,24,100,7.4480205,0.9609635051255894,0.008993037822606968,0.95,1.3284421782522065
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,25,100,7.6410407,0.9608737202793718,0.008587106918245109,0.9416666666666667,1.2906214673338545
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,26,100,7.610584,0.9647090741776218,0.006793871453553807,0.975,1.3448526819579347
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,27,100,7.5344947,0.9535285981709527,0.012981495889420765,0.875,1.2444119620218357
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,28,100,7.8180582,0.9398858197144477,0.02721995192453514,0.8583333333333333,1.052412160455518
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,29,100,7.6808896,0.9683791124084138,0.005682802936491402,0.9916666666666667,1.3758743500563095
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_189,30,100,7.3979597,0.96299893098127,0.007899822890614059,0.9583333333333334,1.3312772191114282
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,1,100,4.3416274,0.9644739722083625,0.007520248161293747,0.95,1.3078475243822307
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,2,100,4.1395084,0.9605444023240227,0.008231487840918187,0.925,1.3530147408337476
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,3,100,5.2253784,0.9268820891435728,0.02921462117162319,0.8333333333333334,1.081100711558587
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,4,100,3.9847289,0.9402351979379822,0.016478615629565495,0.8416666666666667,1.2154920180943445
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,5,100,4.2437714,0.9684049709047191,0.00569587342356236,0.9916666666666667,1.3661961114006824
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,6,100,5.1524638,0.959885799616979,0.009658011838136978,0.9,1.297677180139923
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,7,100,4.1912996,0.963090260327888,0.007469169070641557,0.9916666666666667,1.3492674503343198
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_175,8,100,4.7644079,0.9279335939957757,0.03278346688734742,0.825,1.0126490717322614
